text_asli,removed_noise,removed_alay,removed_stopwords,label
"@mkini_bm laaa, menteri tak nak terima new normal ke?","laaa, menteri tak nak terima ke?","laaa, menteri tak nak terima ke?","laaa , menteri terima ?",netral
"era new normal, tetap aman menjaga kesehatan menjalankan protokol kesehatan  &amp; tetap produktif melayani demi menjaga negeri dari ancama  hama penyakit hewan karantin (hphk) &amp; organisme penggangu tumbuhan karantina (optk) serta mendukung akselerasi ekspor komoditas pertanian. https://t.co/ryvxjzwtp7","era normal, tetap aman menjaga kesehatan menjalankan protokol kesehatan &amp; tetap produktif melayani demi menjaga negeri dari ancama hama penyakit hewan karantin (hphk) &amp; organisme penggangu tumbuhan karantina (optk) serta mendukung akselerasi ekspor komoditas pertanian.","era normal, tetap aman menjaga kesehatan menjalankan protokol kesehatan &amp; tetap produktif melayani demi menjaga negeri dari ancama hama penyakit hewan karantin (hphk) &amp; organisme penggangu tumbuhan karantina (optk) serta mendukung akselerasi ekspor komoditas pertanian.","era , aman menjaga kesehatan menjalankan protokol kesehatan & amp ; produktif melayani menjaga negeri ancama hama penyakit hewan karantin ( hphk ) & amp ; organisme penggangu tumbuhan karantina ( optk ) mendukung akselerasi ekspor komoditas pertanian .",positif
"salah satu kebijakan yang disiapkan pemerintah di tengah kondisi new normal di tengah pandemi covid-19 adalah rencana membuka sekolah di wilayah dengan status zona hijau. seperti apa kelanjutannya? simak di
https://t.co/xy2jljhrdl",salah satu kebijakan yang disiapkan pemerintah di tengah kondisi di tengah pandemi covid-19 adalah rencana membuka sekolah di wilayah dengan status zona hijau. seperti apa kelanjutannya? simak,salah satu kebijakan yang disiapkan pemerintah di tengah kondisi di tengah pandemi covid-19 adalah rencana membuka sekolah di wilayah dengan status zona hijau. seperti apa kelanjutannya? simak,salah kebijakan disiapkan pemerintah kondisi pandemi covid - 19 rencana membuka sekolah wilayah status zona hijau . kelanjutannya ? simak,positif
"itu yg bilang,
""kalo corona ini berahir aku pen peluk pacar aku 24 jam""
dah new normal lo nderr","itu yg bilang,
""kalo corona ini berahir aku pen peluk pacar aku 24 jam""
dah lo nderr","itu yang bilang,
""kalo corona ini berahir aku pengin peluk pacar aku 24 jam""
dah lo nderr","bilang , 
 "" corona berahir pengin peluk pacar 24 jam "" 
 lo nderr",netral
@penjahatgunung sing dadakan nuengah mesti. new normal jare,sing dadakan nuengah mesti. jare,sing dadakan nuengah mesti. jare,sing dadakan nuengah mesti . jare,netral
"sambut new normal, sandi uno sarankan pemerintah beri umkm dana tunai https://t.co/eotborpaca via @tribunnews","sambut normal, sandi uno sarankan pemerintah beri umkm dana tunai via","sambut normal, sandi uno sarankan pemerintah beri umkm dana tunai via","sambut , sandi uno sarankan pemerintah umkm dana tunai via",positif
"pemulihan kabupaten dan kota menuju ‘new normal’ produktif dan aman covid-19 https://t.co/b6u6xwbtcy 

@jokowi
@wapres_ri
@kemenkesri
@bnpb_indonesia
@kemendag
@kemendagri
@kemenbumn
@perekonomianri
@bappenasri https://t.co/uindhgrphp",pemulihan kabupaten dan kota menuju ‘new normal’ produktif dan aman covid-19,pemulihan kabupaten dan kota menuju ‘new normal’ produktif dan aman covid-19,pemulihan kabupaten kota ‘ ’ produktif aman covid - 19,positif
"gimana mau mandi, cuci tangan terus lha air nya aja mati gak ngalir. 
ya allahhhh.. pdam semarang kenapa sih? 😭😭
aku cek d ig jg gak ada kebocoran. tolong laaah. ini uda new normal. mau sering2 cuci tangan gimana? 😭😭😭😭","gimana mau mandi, cuci tangan terus lha air nya aja mati gak ngalir. ya allahhhh.. pdam semarang kenapa sih? 😭😭
aku cek d ig jg gak ada kebocoran. tolong laaah. ini uda normal. mau sering2 cuci tangan gimana? 😭😭😭😭","bagaimana mau mandi, cuci tangan terus lah air nya saja mati enggak ngalir. ya allahhhh.. pdam semarang kenapa sih? 😭😭
aku cek di ig juga enggak ada kebocoran. tolong laaah. ini sudah normal. mau sering-sering cuci tangan gimana? 😭😭😭😭","mandi , cuci tangan air mati ngalir . allahhhh .. pdam semarang ? 😭 😭 
 cek ig kebocoran . tolong laaah . . sering-sering cuci tangan gimana ? 😭 😭 😭 😭",negatif
umr dalam ruu cipta kerja cocok disaat new normal https://t.co/fr3hjclqla,umr dalam ruu cipta kerja cocok disaat,umr dalam ruu cipta kerja cocok disaat,umr ruu cipta kerja cocok disaat,netral
kayaknya baru kali ini chat-an sama eplin pagi-pagi 😂 udah gitu ngomongin kemungkinan ‘new normal’ hahahahahahahahaha,kayaknya baru kali ini chat-an sama eplin pagi-pagi 😂 udah gitu ngomongin kemungkinan ‘new normal’ hahahahahahahahaha,kayaknya baru kali ini chat-an sama eplin pagi-pagi 😂 sudah begitu mengomongkan kemungkinan ‘new normal’ hahahahahahahahaha,kayaknya kali chat - an eplin pagi-pagi 😂 mengomongkan ‘ ’ hahahahahahahahaha,netral
"matangkan persiapan new normal, gubernur edy minta masukan idai https://t.co/min2vferpg","matangkan persiapan normal, gubernur edy minta masukan idai","matangkan persiapan normal, gubernur edy meminta masukan idai","matangkan persiapan , gubernur edy masukan idai",positif
"new normal telah berlaku, apakah hubungan kita bisa seperti dulu.","telah berlaku, apakah hubungan kita bisa seperti dulu.","telah berlaku, apakah hubungan kita bisa seperti dulu.","berlaku , hubungan .",netral
"#volarepagi : karena itu, meskipun tatanan kenormalam baru (new normal) diberlakukan, masyarakat dituntut untuk terus meningkatkan kewaspadaan dengan mematuhi protokol kesehatan.

apa pendapat bujang dare mengenai peringatan ini?","#volarepagi : karena itu, meskipun tatanan kenormalam baru (new normal) diberlakukan, masyarakat dituntut untuk terus meningkatkan kewaspadaan dengan mematuhi protokol kesehatan.

apa pendapat bujang dare mengenai peringatan ini?","#volarepagi : karena itu, meskipun tatanan kenormalam baru (new normal) diberlakukan, masyarakat dituntut untuk terus meningkatkan kewaspadaan dengan mematuhi protokol kesehatan.

apa pendapat bujang dare mengenai peringatan ini?","#volarepagi : , tatanan kenormalam ( ) diberlakukan , masyarakat dituntut meningkatkan kewaspadaan mematuhi protokol kesehatan . 

 pendapat bujang dare peringatan ?",positif
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/735t4i6hwy","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"unik! bord for en, restoran di swedia ini menyediakan satu meja untuk satu orang. #restoran #swedia 

via @detiktravel https://t.co/lup69rb16r","unik! bord for en, restoran di swedia ini menyediakan satu meja untuk satu orang. #restoran #swedia via","unik! bord for en, restoran di swedia ini menyediakan satu meja untuk satu orang. #restoran #swedia via","unik ! bord for en , restoran swedia menyediakan meja orang . #restoran #swedia via",positif
"udah mulai new normal, siap-siap jam tidur nggak normal nih","udah mulai normal, siap-siap jam tidur nggak nih","sudah mulai normal, siap-siap jam tidur enggak nih",", siap-siap jam tidur",netral
"#adaptasinewnormal

lagu   ,   corona
virus mematikan
ganas membunuh  jutaan  orang lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","#adaptasinewnormal

lagu , corona
virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","#adaptasinewnormal

lagu , corona
virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","#adaptasinewnormal 

 lagu , corona 
 virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
kondisi sarana transportasi di jakarta yg tidak sebanding dg populasi belum siap untuk diterapkan kebijakan new normal. gelombang ke-2 covid mengancam jakarta. #waspadacovid19,kondisi sarana transportasi di jakarta yg tidak sebanding dg populasi belum siap untuk diterapkan kebijakan normal. gelombang ke-2 covid mengancam jakarta. #waspadacovid19,kondisi sarana transportasi di jakarta yang tidak sebanding dengan populasi belum siap untuk diterapkan kebijakan normal. gelombang ke-2 covid mengancam jakarta. #waspadacovid19,kondisi sarana transportasi jakarta sebanding populasi diterapkan kebijakan . gelombang - 2 covid mengancam jakarta . #waspadacovid19,negatif
"jangan dikasih dong, nanti tambah membebani negara. jumlah kasus positig masih tinggi udh sok""an new normal. https://t.co/5dlxobaq16","jangan dikasih dong, nanti tambah membebani negara. jumlah kasus positig masih tinggi udh sok""an normal.","jangan dikasih dong, nanti tambah membebani negara. jumlah kasus positig masih tinggi sudah sok""an normal.","dikasih , membebani negara . positig sok""an .",negatif
oyi sahabat selamat pagi! malang sido new normal ta psbb maneh iki?,oyi sahabat selamat pagi! malang sido ta psbb maneh iki?,oyi sahabat selamat pagi! malang sido ta psbb maneh iki?,oyi sahabat selamat pagi ! malang sido ta psbb maneh iki ?,netral
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/jdbl4jojob","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
mui bnpb akan libatkan ulama edukasi new normal https://t.co/k2bfji62py https://t.co/e3czpohmyz,mui bnpb akan libatkan ulama edukasi,mui bnpb akan libatkan ulama edukasi,mui bnpb libatkan ulama edukasi,positif
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/nqh146kkgc","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"persiapan new normal
baju muslim anak dan dewasa
rumah dannis bantul yogyakarta
@tokokartika
wa 081-229-316-777
.
.
koko anak, gamis anak, jubah anak, mukena anak, sarung anak, sarung putih, masker anak, kerudung… https://t.co/0jhvo7efbd","persiapan normal
baju muslim anak dan dewasa
rumah dannis bantul 081-229-316-777
.
.
koko anak, gamis anak, jubah anak, mukena anak, sarung anak, sarung putih, masker anak, kerudung…","persiapan normal
baju muslim anak dan dewasa
rumah dannis bantul 081-229-316-777
.
.
koko anak, gamis anak, jubah anak, mukena anak, sarung anak, sarung putih, masker anak, kerudung…","persiapan 
 baju muslim anak dewasa 
 rumah dannis bantul 081 - 229 - 316 - 777 
 . 
 . 
 koko anak , gamis anak , jubah anak , mukena anak , sarung anak , sarung putih , masker anak , kerudung …",netral
@infosurabaya disiplin aja gak bisa kok new normal.. gak harus pinter untuk ngerti ini mustahil,disiplin aja gak bisa kok normal.. gak harus pinter untuk ngerti ini mustahil,disiplin saja enggak bisa kok normal.. enggak harus pintar untuk mengerti ini mustahil,disiplin .. pintar mengerti mustahil,negatif
"new normal tanpa new public transportation = duduk berjarak, berdiri terdesak.","tanpa public transportation = duduk berjarak, berdiri terdesak.","tanpa public transportation = duduk berjarak, berdiri terdesak.","public transportation = duduk berjarak , berdiri terdesak .",negatif
@dedeshu5 @cnnindonesia kemarin nolak new normal. kok mencla mencle sih,kemarin nolak normal. kok mencla mencle sih,kemarin nolak normal. kok mencla mencle sih,kemarin nolak . mencla mencle,negatif
"tunggu pedoman, ganjar belum izinkan daerah di jateng terapkan new normal #inikebumen #newnormal #covid19 #covid19jateng  https://t.co/ssqt1rbao5","tunggu pedoman, ganjar belum izinkan daerah di jateng terapkan #inikebumen #newnormal #covid19 #covid19jateng","tunggu pedoman, ganjar belum izinkan daerah di jateng terapkan #inikebumen #newnormal #covid19 #covid19jateng","tunggu pedoman , ganjar izinkan daerah jateng terapkan #inikebumen #newnormal #covid19 #covid19jateng",netral
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/gidanfkl1g","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"@republikaonline @fadjroel @jokowi lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"protokol new normal belum kelar, banyaknya wisatawan dari zona psbb - jawa pos https://t.co/p3qkjutkkr","protokol belum kelar, banyaknya wisatawan dari zona psbb - jawa pos","protokol belum kelar, banyaknya wisatawan dari zona psbb - jawa pos","protokol kelar , banyaknya wisatawan zona psbb - jawa pos",negatif
"new normal...
in fact sperti normal yg gak ada sama sekali jeng corona😩😅","normal...
in fact sperti yg gak ada sama sekali jeng corona😩😅","normal...
in fact seperti yang enggak ada sama sekali jeng corona😩😅","... 
 in fact jeng corona 😩 😅",negatif
"kinda like this new normal wktu pagi, tk ramai org","kinda like this wktu pagi, tk ramai org","kinda like this waktu pagi, tak ramai orang","kinda like this pagi , ramai orang",negatif
"ketika ""new normal"" dimaknai sebagai ""back to normal"". https://t.co/p98z7arj6k","ketika ""new normal"" dimaknai sebagai ""back to normal"".","ketika ""new normal"" dimaknai sebagai ""back tapi normal"".",""" "" dimaknai "" back "" .",negatif
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/nepfot3srt","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"#infopolsekbadau 
@divisihumaspolri
...
jaga jarak &amp; gunakan masker saat di tempat umum

siap menjalani tatanan kehidupan baru

adaptasi kebiasaan pada tatanan kehidupan baru atau new normal perlu dilakukan bersama untuk dapat kembali beraktivitas dengan produktif dan aman dari https://t.co/prhh5dpgtx","#infopolsekbadau jarak &amp; gunakan masker saat di tempat umum

siap menjalani tatanan kehidupan baru

adaptasi kebiasaan pada tatanan kehidupan baru atau perlu dilakukan bersama untuk dapat kembali beraktivitas dengan produktif dan aman dari","#infopolsekbadau jarak &amp; gunakan masker saat di tempat umum

siap menjalani tatanan kehidupan baru

adaptasi kebiasaan pada tatanan kehidupan baru atau perlu dilakukan bersama untuk dapat kembali beraktivitas dengan produktif dan aman dari","#infopolsekbadau jarak & amp ; masker 

 menjalani tatanan kehidupan 

 adaptasi kebiasaan tatanan kehidupan beraktivitas produktif aman",positif
@gnwn87 wuih kuwi sesuai peradaban sekarang new normal minume newport 🤣,wuih kuwi sesuai peradaban sekarang minume newport 🤣,wuih kuwi sesuai peradaban sekarang minume newport 🤣,wuih kuwi sesuai peradaban minume newport 🤣,netral
gugus tugas umumkan kriteria dan syarat perjalanan di masa new normal https://t.co/1k6snxyn7t,gugus tugas umumkan kriteria dan syarat perjalanan di masa,gugus tugas umumkan kriteria dan syarat perjalanan di masa,gugus tugas umumkan kriteria syarat perjalanan,positif
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/y6mot60ryi","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
selamat datang di era new normal. ini adalah era dimana masyarakat sudah mulai beraktivitas normal kembali tetapi dengan protokol kesehatan yang ketat. kehidupan new normal ini ditawarkan agar perekonomian bisa kembali berjalan meskipun obat atau vaksin corona belum ditemukan.,selamat datang di era normal. ini adalah era dimana masyarakat sudah mulai beraktivitas kembali tetapi dengan protokol kesehatan yang ketat. kehidupan ini ditawarkan agar perekonomian bisa kembali berjalan meskipun obat atau vaksin corona belum ditemukan.,selamat datang di era normal. ini adalah era dimana masyarakat sudah mulai beraktivitas kembali tetapi dengan protokol kesehatan yang ketat. kehidupan ini ditawarkan agar perekonomian bisa kembali berjalan meskipun obat atau vaksin corona belum ditemukan.,selamat era . era dimana masyarakat beraktivitas protokol kesehatan ketat . kehidupan ditawarkan perekonomian berjalan obat vaksin corona ditemukan .,positif
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/el64smgdmm","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"lagu   ,   corona
           virus mematikan
ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/2qly1rqhtr","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan
ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 
 ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
kita dukung pemerintah...semoga bisa new normal walaupun rakyat yg jadi korban https://t.co/ras9y075cd,kita dukung pemerintah...semoga bisa walaupun rakyat yg jadi korban,kita dukung pemerintah...semoga bisa walaupun rakyat yang jadi korban,dukung pemerintah ... semoga rakyat korban,netral
