text_asli,removed_noise,removed_alay,removed_stopwords,label
"pandemi covid tak akan pernah usai sebelum vaksin dan drug of choicenya ditemukan. ""new normal"" adalah satu upaya untuk memperbaiki situasi ekonomi yg menurut saya, secara logika, dapat memperbesar resiko penularan covid. so..jalani dgn mematuhi protokol yg ada dan...berdoa..","pandemi covid tak akan pernah usai sebelum vaksin dan drug of choicenya ditemukan. ""new normal"" adalah satu upaya untuk memperbaiki situasi ekonomi yg menurut saya, secara logika, dapat memperbesar resiko penularan covid. so..jalani dgn mematuhi protokol yg ada dan...berdoa..","pandemi covid tak akan pernah usai sebelum vaksin dan drug of choicenya ditemukan. ""new normal"" adalah satu upaya untuk memperbaiki situasi ekonomi yang menurut saya, secara logika, dapat memperbesar resiko penularan covid. so..jalani dengan mematuhi protokol yang ada dan...berdoa..","pandemi covid vaksin drug of choicenya ditemukan . "" "" upaya memperbaiki situasi ekonomi , logika , memperbesar resiko penularan covid . so .. jalani mematuhi protokol ... berdoa ..",positif
pemerintah waktu diskusiin rencana new normal ini apa nggak masukin surabaya dalam pertimbangannya ya? tolong. surabaya ga lagi merah loh tapi sudah hitam,pemerintah waktu diskusiin rencana ini apa nggak masukin surabaya dalam pertimbangannya ya? tolong. surabaya ga lagi merah loh tapi sudah hitam,pemerintah waktu diskusiin rencana ini apa enggak memasuki surabaya dalam pertimbangannya ya? tolong. surabaya enggak lagi merah loh tapi sudah hitam,pemerintah diskusiin rencana memasuki surabaya pertimbangannya ? tolong . surabaya merah loh hitam,negatif
"inilah new normal yang tidak normal...alias abnormal!
hidup bermaksiat itu tidak normal bagi umat islam. 

#indonesiaabnormal
#newnormaldalamkehidupanislam

https://t.co/dxhvhopurh","inilah yang tidak normal...alias abnormal!
hidup bermaksiat itu tidak bagi umat islam.","inilah yang tidak normal...alias abnormal!
hidup bermaksiat itu tidak bagi umat islam.","... alias abnormal ! 
 hidup bermaksiat umat islam .",negatif
"@alvinlie21 pak banyak temen yang udah pulkam sebelum psbb disuruh balik ke jakarta utk persiapan bekerja kembali menyambut new normal, sementara pengurusan sikm hampir semua di tolak oleh dki via online. 

gimana tuh ?","pak banyak temen yang udah pulkam sebelum psbb disuruh balik ke jakarta utk persiapan bekerja kembali menyambut normal, sementara pengurusan sikm hampir semua di tolak oleh dki via online. gimana tuh ?","pak banyak teman yang sudah pulkam sebelum psbb disuruh balik ke jakarta untuk persiapan bekerja kembali menyambut normal, sementara pengurusan sikm hampir semua di tolak oleh dki via online. bagaimana tuh ?","teman pulkam psbb disuruh jakarta persiapan menyambut , pengurusan sikm tolak dki via online . ?",negatif
antara malu dan mangkel..tapi banyak pengen ketawa nya..suasana pagi era new normal di stasiun bogor seperti kehidupan gembala dan ratusan kambingnya..giring sana sini..lol 😪 https://t.co/folnm6mofj,antara malu dan mangkel..tapi banyak pengen ketawa nya..suasana pagi era di stasiun bogor seperti kehidupan gembala dan ratusan kambingnya..giring sana sini..lol 😪,antara malu dan mangkel..tapi banyak pengin ketawa nya..suasana pagi era di stasiun bogor seperti kehidupan gembala dan ratusan kambingnya..giring sana sini..lol 😪,malu mangkel .. pengin ketawa .. suasana pagi era stasiun bogor kehidupan gembala ratusan kambingnya .. giring .. lol 😪,negatif
"status sudah zona hijau, kalideres bersiap sambut new normal https://t.co/w5hra5pyyt","status sudah zona hijau, kalideres bersiap sambut","status sudah zona hijau, kalideres bersiap sambut","status zona hijau , kalideres sambut",positif
@rkwulandr mencoba new normal,mencoba,mencoba,mencoba,netral
"lagu  corona
            dan new normal  
( normalisasi kehidupan )
hasil kajian komprehensiv dari psbb.

hindari keramaian,jaga jarak, pake masker, cuci tangan,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan .

https://t.co/hwhpcyhtfd https://t.co/zr5ev8otby","lagu corona dan ( normalisasi kehidupan )
hasil kajian komprehensiv dari psbb.

hindari keramaian,jaga jarak, pake masker, cuci tangan,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu corona dan ( normalisasi kehidupan )
hasil kajian komprehensiv dari psbb.

hindari keramaian,jaga jarak, pakai masker, cuci tangan,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu corona ( normalisasi kehidupan ) 
 hasil kajian komprehensiv psbb . 

 hindari keramaian , jaga jarak , pakai masker , cuci tangan , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"@tjhinfar21 lagu  corona
            dan new normal  
( normalisasi kehidupan )
hasil kajian komprehensiv dari psbb.

hindari keramaian,jaga jarak, pake masker, cuci tangan,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan .

https://t.co/hwhpcyhtfd","lagu corona dan ( normalisasi kehidupan )
hasil kajian komprehensiv dari psbb.

hindari keramaian,jaga jarak, pake masker, cuci tangan,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu corona dan ( normalisasi kehidupan )
hasil kajian komprehensiv dari psbb.

hindari keramaian,jaga jarak, pakai masker, cuci tangan,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu corona ( normalisasi kehidupan ) 
 hasil kajian komprehensiv psbb . 

 hindari keramaian , jaga jarak , pakai masker , cuci tangan , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",positif
"meski jumlah kasus covid-19 di kota bekasi belum stabil, rencananya pemkot bekasi akan mulai menerapkan new normal pada 4 juni 2020. https://t.co/tkajhdgcfh","meski jumlah kasus covid-19 di kota bekasi belum stabil, rencananya pemkot bekasi akan mulai menerapkan pada 4 juni 2020.","meski jumlah kasus covid-19 di kota bekasi belum stabil, rencananya pemkot bekasi akan mulai menerapkan pada 4 juni 2020.","covid - 19 kota bekasi stabil , rencananya pemkot bekasi menerapkan 4 juni 2020 .",netral
"yukk kerja lagi, dah siap new normal lagi","yukk kerja lagi, dah siap lagi","yuk kerja lagi, deh siap lagi","kerja , deh",netral
begini cara baru naik ojek online di era new normal jika boleh angkut penumpang https://t.co/qqxbavxdjo,begini cara baru naik ojek online di era jika boleh angkut penumpang,begini cara baru naik ojek online di era jika boleh angkut penumpang,ojek online era angkut penumpang,netral
astagfirullah tol macet bgt 😫 new normal nihh biasanya kan sepi wkwk gak semacet ini 🙃,astagfirullah tol macet bgt 😫 nihh biasanya kan sepi wkwk gak semacet ini 🙃,astagfirullah tol macet banget 😫 nih biasanya kan sepi wkwk enggak semacet ini 🙃,astagfirullah tol macet 😫 sepi wkwk semacet 🙃,negatif
@siskaeee_ofc bandung udh new normal nih sini laaah,bandung udh nih sini laaah,bandung sudah nih sini laaah,bandung laaah,netral
pagi new normal.. https://t.co/xecfp7uzgi,pagi normal..,pagi normal..,pagi ..,netral
"tiga strategy di masa sulit

kita hidup di era new normal. tentu kita membutuhkan kiat-kiat baru. bagaimana hal itu diterapkan? temukan jawabannya.

mari ikuti *inspirasi generasi*
selasa, 2 juni 2020 pukul 20.00… https://t.co/bxybsn71oj","tiga strategy di masa sulit

kita hidup di era normal. tentu kita membutuhkan kiat-kiat baru. bagaimana hal itu diterapkan? temukan jawabannya.

mari ikuti *inspirasi generasi*
selasa, 2 juni 2020 pukul 20.00…","tiga strategy di masa sulit

kita hidup di era normal. tentu kita membutuhkan kiat-kiat baru. bagaimana hal itu diterapkan? temukan jawabannya.

mari ikuti *inspirasi generasi*
selasa, 2 juni 2020 pukul 20.00…","strategy sulit 

 hidup era . membutuhkan kiat-kiat . diterapkan ? temukan jawabannya . 

 mari ikuti * inspirasi generasi * 
 selasa , 2 juni 2020 20.00 …",netral
belum juga new normal udah rame aja https://t.co/dgbmqknqqd,belum juga udah rame aja,belum juga sudah rame saja,rame,negatif
"@radioelshinta @sumarih2 terlihat tertib sekali.. semua jaga jarak.. semua pakai masker.. sepertinya memang sudah layak untuk new normal..

kita songsong new normal..

ttd,
buzzerp","terlihat tertib sekali.. semua jaga jarak.. semua pakai masker.. sepertinya memang sudah layak untuk normal..

kita songsong normal..

ttd,
buzzerp","terlihat tertib sekali.. semua jaga jarak.. semua pakai masker.. sepertinya memang sudah layak untuk normal..

kita songsong normal..

ttd,
buzzerp","tertib .. jaga jarak .. pakai masker .. layak .. 

 songsong .. 

 ttd , 
 buzzerp",positif
siapa sih yang mulai narasi new normal = herd immunity = genosida?,siapa sih yang mulai narasi = herd immunity = genosida?,siapa sih yang mulai narasi = herd immunity = genosida?,narasi = herd immunity = genosida ?,netral
polsek majalaya polresta bandung bersama tni dan satpol pp berikan himbauan hadapi new normal https://t.co/xeoktgpbzg,polsek majalaya polresta bandung bersama tni dan satpol pp berikan himbauan hadapi,polsek majalaya polresta bandung bersama tni dan satpol pp berikan himbauan hadapi,polsek majalaya polresta bandung tni satpol pp himbauan hadapi,positif
selamat pagi saya akan terus berusaha untuk mencari jalan keluar menghadapi new yang tidak normal,selamat pagi saya akan terus berusaha untuk mencari jalan keluar menghadapi yang tidak,selamat pagi saya akan terus berusaha untuk mencari jalan keluar menghadapi yang tidak,selamat pagi berusaha mencari jalan menghadapi,negatif
"@lahrian_ ayoo semoga di new normal nanti bisa seperti ini jugaa ✨
#langitbarujakarta","ayoo semoga di nanti bisa seperti ini jugaa ✨
#langitbarujakarta","ayo semoga di nanti bisa seperti ini juga ✨
#langitbarujakarta","ayo semoga ✨ 
 #langitbarujakarta",positif
hari ini berasa hari senin gak sih. kok deg deg an ya menghadapi new normal 😵,hari ini berasa hari senin gak sih. kok deg deg an ya menghadapi 😵,hari ini berasa hari senin enggak sih. kok deg deg an ya menghadapi 😵,berasa senin . deg deg an menghadapi 😵,netral
"update global, india menuju nomor empat, lockdown masih lanjut ? tetap ikuti new normal, jaga jarak 2 meter, pakai masker, jgn kumpul2, jangan pegang2 muka, rajin cuci tangan pakai sabun 🙏🙏🙏 https://t.co/svfmtirsqg","update global, india menuju nomor empat, lockdown masih lanjut ? tetap ikuti normal, jaga jarak 2 meter, pakai masker, jgn kumpul2, jangan pegang2 muka, rajin cuci tangan pakai sabun 🙏🙏🙏","update global, india menuju nomor empat, lockdown masih lanjut ? tetap ikuti normal, jaga jarak 2 meter, pakai masker, jangan kumpul2, jangan pegang-pegang muka, rajin cuci tangan pakai sabun 🙏🙏🙏","update global , india nomor , lockdown ? ikuti , jaga jarak 2 meter , pakai masker , kumpul2 , pegang - pegang muka , rajin cuci tangan pakai sabun 🙏 🙏 🙏",positif
"ombudsman: 
penerapan new normal berisiko tinggi
 https://t.co/6zlsrjdh5v",ombudsman: penerapan berisiko tinggi,ombudsman: penerapan berisiko tinggi,ombudsman : penerapan berisiko,negatif
"@wordfangs @samsungid normally gue gambar-gambar cuman pakek media kertas biasa.

the new normal gue bisa gambar pakek format digital with #galaxytabs6lite so, lebih ramah lingkungan bisa edit cepat and mudah. like now, gue lagi gambar album musik.

from this                             to this https://t.co/z8dpxt6lqk","normally gue gambar-gambar cuman pakek media kertas biasa.

the gue bisa gambar pakek format digital with #galaxytabs6lite so, lebih ramah lingkungan bisa edit cepat and mudah. like now, gue lagi gambar album musik.

from this to this","normally gue gambar-gambar cuman pakai media kertas biasa.

the gue bisa gambar pakai format digital with #galaxytabs6lite so, lebih ramah lingkungan bisa edit cepat and mudah. like now, gue lagi gambar album musik.

from this tapi this","normally gambar-gambar cuman pakai media kertas . 

 the gambar pakai format digital with #galaxytabs6lite so , ramah lingkungan edit cepat and mudah . like now , gambar album musik . 

 from this this",positif
negara ini sudah menerapkan herd immunity dibungkus new normal...,negara ini sudah menerapkan herd immunity dibungkus normal...,negara ini sudah menerapkan herd immunity dibungkus normal...,negara menerapkan herd immunity dibungkus ...,netral
selamat 'new normal' 🙆‍♀️,selamat 'new normal' 🙆‍♀️,selamat 'new normal' 🙆‍♀️,selamat ' ' 🙆 ‍ ♀ ️,positif
"ok, siap2 ke kantor seperti biasa setelah sekian lama splitwork ahahaha kek nya ini pun suruh masuk semua karena mau bahas new normal, ahahahahaha good luck badan jompoku yg kebiasa goleran 👋","ok, siap2 ke kantor seperti biasa setelah sekian lama splitwork ahahaha kek nya ini pun suruh masuk semua karena mau bahas normal, ahahahahaha good luck badan jompoku yg kebiasa goleran 👋","ok, siap2 ke kantor seperti biasa setelah sekian lama splitwork ahahaha kayak nya ini pun suruh masuk semua karena mau bahas normal, ahahahahaha good luck badan jompoku yang kebiasa goleran 👋","ok , siap2 kantor sekian splitwork ahahaha suruh masuk bahas , ahahahahaha good luck badan jompoku kebiasa goleran 👋",positif
"@gombang bukany sumbar,sdah mau new normal?","bukany sumbar,sdah mau normal?","bukany sumbar,sdah mau normal?","bukany sumbar , sdah ?",netral
"@ryanalbertus lah mosok ""new normal"" sek unsum isolasi pek","lah mosok ""new normal"" sek unsum isolasi pek","lah mosok ""new normal"" sek unsum isolasi pek","mosok "" "" sek unsum isolasi pek",netral
"@wordfangs @samsungid normally gue gambar-gambar cuman pakek media kertas biasa.

the new normal gue bisa gambar pakek format digital with #galaxytabs6lite so, lebih ramah lingkungan bisa edit cepat and mudah. like now, gue lagi gambar album musik.

from this                             to this https://t.co/8vqzevsohf","normally gue gambar-gambar cuman pakek media kertas biasa.

the gue bisa gambar pakek format digital with #galaxytabs6lite so, lebih ramah lingkungan bisa edit cepat and mudah. like now, gue lagi gambar album musik.

from this to this","normally gue gambar-gambar cuman pakai media kertas biasa.

the gue bisa gambar pakai format digital with #galaxytabs6lite so, lebih ramah lingkungan bisa edit cepat and mudah. like now, gue lagi gambar album musik.

from this tapi this","normally gambar-gambar cuman pakai media kertas . 

 the gambar pakai format digital with #galaxytabs6lite so , ramah lingkungan edit cepat and mudah . like now , gambar album musik . 

 from this this",positif
tak sanggup menghadapi new normal ini guys🙃,tak sanggup menghadapi ini guys🙃,tak sanggup menghadapi ini guys🙃,sanggup menghadapi 🙃,negatif
pesan aa gym jelang new normal di kabupaten  kuningan https://t.co/i5d5vw5elr lewat @kuninganmass,pesan aa gym jelang di kabupaten kuningan lewat,pesan aa gym jelang di kabupaten kuningan lewat,pesan aa gym jelang kabupaten kuningan,netral
"• new normal / kehidupan baru •
beraktifitas boleh tapi santun.
.
.
informasi service &amp; pemesanan mobil toyota sudah bisa dirumah aja :
m harisul ulum
auto 2000 tag
📲
https://t.co/8knmnpo6dl
.
.
https://t.co/y2pgcafpvk
.
.
https://t.co/hxypa4x138
.
.
https://t.co/mo8nvct9zp https://t.co/gx4ekrx9eq","• / kehidupan baru •
beraktifitas boleh tapi santun.
.
.
informasi service &amp; pemesanan mobil toyota sudah bisa dirumah aja :
m harisul ulum
auto 2000","• / kehidupan baru •
beraktifitas boleh tapi santun.
.
.
informasi service &amp; pemesanan mobil toyota sudah bisa dirumah saja :
m harisul ulum
auto 2000","• / kehidupan • 
 beraktifitas santun . 
 . 
 . 
 informasi service & amp ; pemesanan mobil toyota dirumah : 
 m harisul ulum 
 auto 2000",positif
"kita persiapkan diri kita untuk menjalani masa
normal yang baru atau new normal
yaitu merubah perilaku kita untuk tetap menjalankan aktivitas normal sehari-hari dengan menerapkan
protokol kesehatan yang telah… https://t.co/vgg2ca48dy","kita persiapkan diri kita untuk menjalani masa
normal yang baru atau normal
yaitu merubah perilaku kita untuk tetap menjalankan aktivitas sehari-hari dengan menerapkan
protokol kesehatan yang telah…","kita persiapkan diri kita untuk menjalani masa
normal yang baru atau normal
yaitu merubah perilaku kita untuk tetap menjalankan aktivitas sehari-hari dengan menerapkan
protokol kesehatan yang telah…","persiapkan menjalani 
 
 merubah perilaku menjalankan aktivitas sehari-hari menerapkan 
 protokol kesehatan …",positif
new normal itu gmna?,itu gmna?,itu gmna?,gmna ?,netral
"menuju era new normal, sudah siapkah kita? - https://t.co/ezvwuj59se https://t.co/4y2aollppn","menuju era normal, sudah siapkah kita? -","menuju era normal, sudah siapkah kita? -","era , siapkah ? -",netral
"@ikaikraami lek ndk malang mek 2 minggu ka, moro wes new normal ae. lek sby koyoke hampir sebulanan. lha iyooo ndek jabodetabek wes 3 bulanan lhoo, sampek boseeen 😪","lek ndk malang mek 2 minggu ka, moro wes ae. lek sby koyoke hampir sebulanan. lha iyooo ndek jabodetabek wes 3 bulanan lhoo, sampek boseeen 😪","lek ndk malang mek 2 minggu ka, moro wes ae. lek surabaya koyoke hampir sebulanan. lah iyooo ndek jabodetabek wes 3 bulanan lhoo, sampai boseeen 😪","lek ndk malang mek 2 minggu ka , moro wes ae . lek surabaya koyoke sebulanan . iyooo ndek jabodetabek wes 3 bulanan lhoo , boseeen 😪",negatif
"new normal iku : ""mas sarapane wes siap, ndang maem terus kerjo""","iku : ""mas sarapane wes siap, ndang maem terus kerjo""","iku : ""mas sarapane wes siap, ndang maem terus kerjo""","iku : "" mas sarapane wes , ndang maem kerjo """,netral
masyarakat papua mesti bersiap jika kelak berlakunya new normal. #papuankriselamanya #papua opm https://t.co/knfjrao7bo,masyarakat papua mesti bersiap jika kelak berlakunya normal. #papuankriselamanya #papua opm,masyarakat papua mesti bersiap jika kelak berlakunya normal. #papuankriselamanya #papua opm,masyarakat papua mesti kelak berlakunya . #papuankriselamanya #papua opm,netral
"https://t.co/o7scinsyxx
covidnya masih naik terus mau new normal, ga ngerti akutu","masih naik terus mau normal, ga ngerti akutu","masih naik terus mau normal, enggak mengerti akutu",", mengerti akutu",negatif
"new normal, wujud kebijakan coba-coba - https://t.co/ezvwuj59se https://t.co/fgszwhz3pd","normal, wujud kebijakan coba-coba -","normal, wujud kebijakan coba-coba -",", wujud kebijakan coba-coba -",negatif
nanti kalo udah kuliah pake sistem new normal dan kalo duduk misah misah nyonteknya gimana dong?,nanti kalo udah kuliah pake sistem dan kalo duduk misah misah nyonteknya gimana dong?,nanti kalo sudah kuliah pakai sistem dan kalo duduk misah misah nyonteknya bagaimana dong?,kuliah pakai sistem duduk misah misah nyonteknya ?,negatif
06.38 #infosonora #inforaka dinas perindustrian dan perdagangan (disperindag) provinsi jawa barat memastikan 23 pengelola mal di kota bandung sudah mengajukan kesiapan menerapkan adaptasi kebiasaan baru (akb) agar bisa kembali beroperasi. https://t.co/rhtozzosya,06.38 #infosonora #inforaka dinas perindustrian dan perdagangan (disperindag) provinsi jawa barat memastikan 23 pengelola mal di kota bandung sudah mengajukan kesiapan menerapkan adaptasi kebiasaan baru (akb) agar bisa kembali beroperasi.,06.38 #infosonora #inforaka dinas perindustrian dan perdagangan (disperindag) provinsi jawa barat memastikan 23 pengelola mal di kota bandung sudah mengajukan kesiapan menerapkan adaptasi kebiasaan baru (akb) agar bisa kembali beroperasi.,06.38 #infosonora #inforaka dinas perindustrian perdagangan ( disperindag ) provinsi jawa barat 23 pengelola mal kota bandung mengajukan kesiapan menerapkan adaptasi kebiasaan ( akb ) beroperasi .,netral
masyarakat papua mesti bersiap jika kelak berlakunya new normal. #papuankriselamanya #papua opm https://t.co/scvmlnsq44,masyarakat papua mesti bersiap jika kelak berlakunya normal. #papuankriselamanya #papua opm,masyarakat papua mesti bersiap jika kelak berlakunya normal. #papuankriselamanya #papua opm,masyarakat papua mesti kelak berlakunya . #papuankriselamanya #papua opm,netral
#inforaka dinas perindustrian dan perdagangan (disperindag) provinsi jawa barat memastikan 23 pengelola mal di kota bandung sudah mengajukan kesiapan menerapkan adaptasi kebiasaan baru (akb) agar bisa kembali beroperasi. https://t.co/pibkm5dbko,#inforaka dinas perindustrian dan perdagangan (disperindag) provinsi jawa barat memastikan 23 pengelola mal di kota bandung sudah mengajukan kesiapan menerapkan adaptasi kebiasaan baru (akb) agar bisa kembali beroperasi.,#inforaka dinas perindustrian dan perdagangan (disperindag) provinsi jawa barat memastikan 23 pengelola mal di kota bandung sudah mengajukan kesiapan menerapkan adaptasi kebiasaan baru (akb) agar bisa kembali beroperasi.,#inforaka dinas perindustrian perdagangan ( disperindag ) provinsi jawa barat 23 pengelola mal kota bandung mengajukan kesiapan menerapkan adaptasi kebiasaan ( akb ) beroperasi .,netral
"ketua fraksi gabungan bangun papua dpr papua, agus kogoya, berharap masyarakat  mempersiapkan diri menjalani kehidupan normal baru atau new normal di tengah pademi covid-19 kini. #papuankriselamanya #papua opm https://t.co/b6vt0cclfj","ketua fraksi gabungan bangun papua dpr papua, agus kogoya, berharap masyarakat mempersiapkan diri menjalani kehidupan baru atau di tengah pademi covid-19 kini. #papuankriselamanya #papua opm","ketua fraksi gabungan bangun papua dpr papua, agus kogoya, berharap masyarakat mempersiapkan diri menjalani kehidupan baru atau di tengah pademi covid-19 kini. #papuankriselamanya #papua opm","ketua fraksi gabungan bangun papua dpr papua , agus kogoya , berharap masyarakat menjalani kehidupan pademi covid - 19 . #papuankriselamanya #papua opm",netral
new normal jugak .. ni baru betul2 ldr 😢😔😔 .. https://t.co/8w1naibgsr,jugak .. ni baru betul2 ldr 😢😔😔 ..,juga .. nih baru betul-betul ldr 😢😔😔 ..,.. betul-betul ldr 😢 😔 😔 ..,negatif
@luvitamanoraa haha itu sudah menjadi resiko hidup di era new normal,haha itu sudah menjadi resiko hidup di era,haha itu sudah menjadi resiko hidup di era,haha resiko hidup era,netral
"selamat pagi kawan,, selamat beraktifitas,,, hari pertama kerja di masa new normal,,, tetap jaga jarak https://t.co/aksbtve0d6","selamat pagi kawan,, selamat beraktifitas,,, hari pertama kerja di masa normal,,, tetap jaga jarak","selamat pagi kawan,, selamat beraktifitas,,, hari pertama kerja di masa normal,,, tetap jaga jarak","selamat pagi kawan , , selamat beraktifitas , , , kerja , , , jaga jarak",positif
"😷 'new normal', namun penambahan pasien positif covid-19 di indonesia masih terus terjadi, termasuk di malang raya

*malang raya : kasus positif covid-19 di malang raya : (akumulatif) ➡️ kota batu, 28 kasus | kota malang, 51 kasus | kab.malang, 85 kasus https://t.co/dgyyrwothi","😷 'new normal', namun penambahan pasien positif covid-19 di indonesia masih terus terjadi, termasuk di malang raya

*malang raya : kasus positif covid-19 di malang raya : (akumulatif) ➡️ kota batu, 28 kasus | kota malang, 51 kasus | kab.malang, 85 kasus","😷 'new normal', namun penambahan pasien positif covid-19 di indonesia masih terus terjadi, termasuk di malang raya

*malang raya : kasus positif covid-19 di malang raya : (akumulatif) ➡️ kota batu, 28 kasus | kota malang, 51 kasus | kab.malang, 85 kasus","😷 ' ' , penambahan pasien positif covid - 19 indonesia , malang raya 

 * malang raya : positif covid - 19 malang raya : ( akumulatif ) ➡ ️ kota batu , 28 | kota malang , 51 | kab.malang , 85",negatif
"turu ku ws normal, ws oleh melu new normal brt iki","turu ku ws normal, ws oleh melu brt iki","turu ku ws normal, ws oleh melu brt iki","turu ku ws , ws melu brt iki",netral
pedoman who versus kondisi di indonesia untuk syarat new normal https://t.co/z5ihjgzgky,pedoman who versus kondisi di indonesia untuk syarat,pedoman who versus kondisi di indonesia untuk syarat,pedoman who versus kondisi indonesia syarat,netral
@debbyputris dan bisa aja terus gini saat new normal nanti :),dan bisa aja terus gini saat nanti :),dan bisa saja terus begini saat nanti :),:),netral
apabila jakarta memulai new normal maka @commuterline harus menambah rangkaian kereta jika tdk ingin terjadi penumpukan penumpang di gerbong dan di stasiun,apabila jakarta memulai maka harus menambah rangkaian kereta jika tdk ingin terjadi penumpukan penumpang di gerbong dan di stasiun,apabila jakarta memulai maka harus menambah rangkaian kereta jika tidak ingin terjadi penumpukan penumpang di gerbong dan di stasiun,jakarta menambah rangkaian kereta penumpukan penumpang gerbong stasiun,netral
enam syarat new normal menurut pakar epidemiologi https://t.co/o1fdhusgcn https://t.co/1obh9s2ajo,enam syarat menurut pakar epidemiologi,enam syarat menurut pakar epidemiologi,enam syarat pakar epidemiologi,netral
