text_asli,removed_noise,removed_alay,removed_stopwords,Label
"pasar tanjung jember resmi menjadi pasar tangguh, siap hadapi new normal https://t.co/knmc96eriz","pasar tanjung jember resmi menjadi pasar tangguh, siap hadapi","pasar tanjung jember resmi menjadi pasar tangguh, siap hadapi","pasar tanjung jember resmi pasar tangguh , hadapi",positif
"lagu  ,  corona

virus mematikan ,ganas membunuh  jutaan  orang  lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/xmh8wm2fqw","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona 

 virus mematikan , ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , ibadah rumah , waspada . 
 taati protokol kesehatan / normalisasi kehidupan",positif
"@chusnuichotimah lagu  ,  corona

virus mematikan ,ganas membunuh  jutaan  orang  lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona 

 virus mematikan , ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , ibadah rumah , waspada . 
 taati protokol kesehatan / normalisasi kehidupan",positif
"lagu  ,  corona

virus mematikan ,ganas membunuh  jutaan  orang  lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/xaulh1pzd1","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona 

 virus mematikan , ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , ibadah rumah , waspada . 
 taati protokol kesehatan / normalisasi kehidupan",positif
"@candraasmara85 lagu  ,  corona

virus mematikan ,ganas membunuh  jutaan  orang  lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona 

 virus mematikan , ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , ibadah rumah , waspada . 
 taati protokol kesehatan / normalisasi kehidupan",positif
"transisi new normal dalam foto ✌️
foto: katadata/adi maulana ibrahim https://t.co/vqgrqi3r9n","transisi dalam foto ✌️
foto: katadata/adi maulana ibrahim","transisi dalam foto ✌️
foto: katadata/adi maulana ibrahim","transisi foto ✌ ️ 
 foto : katadata / adi maulana ibrahim",netral
@ajplus @mas__piyuuu indonesia masih banyak terkena covid sudah bilang  new normal,indonesia masih banyak terkena covid sudah bilang,indonesia masih banyak terkena covid sudah bilang,indonesia terkena covid bilang,negatif
"wong ""new normal"" . ibarat pasien rsj mudik, di sapa tetangga;"" sudah new normal ya mas?"" https://t.co/iwbqzzdmqj","wong ""new normal"" . ibarat pasien rsj mudik, di sapa tetangga;"" sudah ya mas?""","wong ""new normal"" . ibarat pasien rsj mudik, di sapa tetangga;"" sudah ya mas?""",""" "" . pasien rsj mudik , sapa tetangga ; "" mas ? """,negatif
@pemkotmalang @sutiaji1964 @kominfomalang udah dech jangan rapid test mulu new normal ya ayuk kita sama2 jaga diri baik2 mari hidup berdaampingan,udah dech jangan rapid test mulu ya ayuk kita sama2 jaga diri baik2 mari hidup berdaampingan,sudah deh jangan rapid test mulu ya ayo kita sama-sama jaga diri baik-baik mari hidup berdaampingan,deh rapid test mulu ayo jaga baik-baik mari hidup berdaampingan,positif
@collegemenfess kampusku uji coba genosida bertopeng new normal si nder hahahahahahahahahahahahahadahla mbuh:),kampusku uji coba genosida bertopeng si nder hahahahahahahahahahahahahadahla mbuh:),kampusku uji coba genosida bertopeng sih nder hahahahahahahahahahahahahadahla mbuh:),kampusku uji coba genosida bertopeng nder hahahahahahahahahahahahahadahla mbuh : ),positif
"new normal, dari katanya aja kita udah gabakal seperti dulu lagi.
biasakan teman, jaga kesehatan.","normal, dari katanya aja kita udah gabakal seperti dulu lagi.
biasakan teman, jaga kesehatan.","normal, dari katanya saja kita sudah enggak bakal seperti dulu lagi.
biasakan teman, jaga kesehatan.",", . 
 biasakan teman , jaga kesehatan .",positif
"saksikan live streaming international webinar ""how to be a creative teacher or parent in a new normal life"". kamis, 11 juni 2020 mulai pukul 13.00 wib di saluran youtube: sumber belajar p4tk tk dan plb. raih kesempatan merebut golden tiket untuk ikut webinar pppptk tk dan plb! https://t.co/ddsngy05d0","saksikan live streaming international webinar ""how to be a creative teacher or parent in a life"". kamis, 11 juni 2020 mulai pukul 13.00 wib di saluran youtube: sumber belajar p4tk tk dan plb. raih kesempatan merebut golden tiket untuk ikut webinar pppptk tk dan plb!","saksikan live streaming international webinar ""how tapi be a creative teacher orang parent ini a life"". kamis, 11 juni 2020 mulai pukul 13.00 wib di saluran youtube: sumber belajar p4tk tak dan plb. raih kesempatan merebut golden tiket untuk ikut webinar pppptk tak dan plb!","saksikan live streaming international webinar "" how be a creative teacher orang parent a life "" . kamis , 11 juni 2020 13.00 wib saluran youtube : sumber belajar p4tk plb . raih kesempatan merebut golden tiket webinar pppptk plb !",netral
@krjogjadotcom @humas_jogja @provinsidiy @kratonjogja meh main aman dengan new normal,meh main aman dengan,meh main aman dengan,meh main aman,positif
"dalam menuju ""the new normal"" di masa pandemi saat ini, berbagai perubahan layanan dilakukan oleh  pt @angkasapura_2 di @plm_ap2 , salah satunya dengan memasang kaca pembatas/ acrylic di meja check in counter, meja… https://t.co/6tfponadpc","dalam menuju ""the normal"" di masa pandemi saat ini, berbagai perubahan layanan dilakukan oleh pt di , salah satunya dengan memasang kaca pembatas/ acrylic di meja check in counter, meja…","dalam menuju ""the normal"" di masa pandemi saat ini, berbagai perubahan layanan dilakukan oleh pt di , salah satunya dengan memasang kaca pembatas/ acrylic di meja check ini counter, meja…",""" the "" pandemi , perubahan layanan pt , salah satunya memasang kaca pembatas/ acrylic meja check counter , meja …",positif
gubernur rohidin yakin penerapan new normal di bengkulu dimulai pertengahan juni https://t.co/60sz3e74fm,gubernur rohidin yakin penerapan di bengkulu dimulai pertengahan juni,gubernur rohidin yakin penerapan di bengkulu dimulai pertengahan juni,gubernur rohidin penerapan bengkulu pertengahan juni,positif
"bekasi menggeliat, galang enterprise gelar latpres new normal 14 juni 2020 https://t.co/vyrvilpmev https://t.co/q8zymkqshd","bekasi menggeliat, galang enterprise gelar latpres 14 juni 2020","bekasi menggeliat, galang enterprise gelar latpres 14 juni 2020","bekasi menggeliat , galang enterprise gelar latpres 14 juni 2020",negatif
"@titiknol_jogja mungkin iso wae orang dalem main aman, jadi dipageri karena new normal hihi","mungkin iso wae orang dalem main aman, jadi dipageri karena hihi","mungkin iso wae orang dalem main aman, jadi dipageri karena hihi","iso wae orang dalem main aman , dipageri hihi",positif
new normal wahana jemputan menuju tempat wisata tawangmangu... https://t.co/edctdxs8a6,wahana jemputan menuju tempat wisata tawangmangu...,wahana jemputan menuju tempat wisata tawangmangu...,wahana jemputan wisata tawangmangu ...,netral
"perlu diketahui, surabaya belum new normal. tapi masih dalam masa transisi.","perlu diketahui, surabaya belum normal. tapi masih dalam masa transisi.","perlu diketahui, surabaya belum normal. tapi masih dalam masa transisi.",", surabaya . transisi .",netral
"yang belum tau apa itu new normal, berikut contoh nya.. 👍 https://t.co/xizkgoewug","yang belum tau apa itu normal, berikut contoh nya.. 👍","yang belum tau apa itu normal, berikut contoh nya.. 👍","tau , contoh .. 👍",netral
"@n0tm3atall kan udh new normal, tapi dianjurkan berkumpul gitu bukan buat kita yang masih pengangguran. ingat kata lavina ""new normal buat ngenormalin ekonomi negara""","kan udh normal, tapi dianjurkan berkumpul gitu bukan buat kita yang masih pengangguran. ingat kata lavina ""new buat ngenormalin ekonomi negara""","kan sudah normal, tapi dianjurkan berkumpul begitu bukan buat kita yang masih pengangguran. ingat kata lavina ""new buat ngenormalin ekonomi negara""",", dianjurkan berkumpul pengangguran . lavina "" ngenormalin ekonomi negara """,positif
"draf kebijakan new normal masih digodok, ini pesan gubernur sumut https://t.co/wzcxjulhin","draf kebijakan masih digodok, ini pesan gubernur sumut","draf kebijakan masih digodok, ini pesan gubernur sumut","draf kebijakan digodok , pesan gubernur sumut",positif
"@nirmalakp setuju, dalam artian. indonesia ini sudah salah langkah dari awal. kalau diambil kebijakan new normal ya resikonya lebih besar. tanpa new normal aja udah dilanggar, banyaj yg nongkrong, ke mall dll. apalagi kalau pakai new normal, makin parah. yg ga berkepentingan ikut""an keluar","setuju, dalam artian. indonesia ini sudah salah langkah dari awal. kalau diambil kebijakan ya resikonya lebih besar. tanpa aja udah dilanggar, banyaj yg nongkrong, ke mall dll. apalagi kalau pakai normal, makin parah. yg ga berkepentingan ikut""an keluar","setuju, dalam artian. indonesia ini sudah salah langkah dari awal. kalau diambil kebijakan ya resikonya lebih besar. tanpa saja sudah dilanggar, banyaj yang nongkrong, ke mall dll. apalagi kalau pakai normal, makin parah. yang enggak berkepentingan ikut""an keluar","setuju , artian . indonesia salah langkah . diambil kebijakan resikonya . dilanggar , banyaj nongkrong , mall dll. pakai , parah . berkepentingan ikut""an",negatif
"@satubsd jawaban #tts @satubsd 
1. new normal
2. masker
3. psbb
#giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd

yuk ikutan jawab 
@chichy_cc @irmayuli_1 @nitasusilawati_ 
@maryonoblitar69 @bravo__ https://t.co/3e9ez3j2xj","jawaban #tts 1. normal
2. masker
3. psbb
#giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd

yuk ikutan jawab","jawaban #tts 1. normal
2. masker
3. psbb
#giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd

yuk ikutan jawab","#tts 1 . 
 2 . masker 
 3 . psbb 
 #giveaway #giveawayindonesia #kuisberhadiah #bsdquiz #kuisbsd 

 ikutan",positif
"new normal katanya, tapi gaji gue belom ikutan normal. hayyaaaaahhh","katanya, tapi gaji gue belom ikutan normal. hayyaaaaahhh","katanya, tapi gaji gue belum ikutan normal. hayyaaaaahhh",", gaji ikutan . hayyaaaaahhh",negatif
"@ilctv1 mau new normal mau apa ke yg di intruksikan pemerintah #terserah,tim medis mati²an berjuang.mereka korban harta pikiran waktu bahkan nyawa.tapi pemerintah belum apa² sdh membuka pasilitas umum tempat brkumpul nya org,takut rugi kah gada pemasukan rupiah?
#terserah","mau mau apa ke yg di intruksikan pemerintah #terserah,tim medis mati²an berjuang.mereka korban harta pikiran waktu bahkan nyawa.tapi pemerintah belum apa² sdh membuka pasilitas umum tempat brkumpul nya org,takut rugi kah gada pemasukan rupiah?
#terserah","mau mau apa ke yang di intruksikan pemerintah #terserah,tim medis mati²an berjuang.mereka korban harta pikiran waktu bahkan nyawa.tapi pemerintah belum apa² sudah membuka pasilitas umum tempat brkumpul nya org,takut rugi kah enggak ada pemasukan rupiah?
#terserah","intruksikan pemerintah #terserah , tim medis mati²an berjuang.mereka korban harta pikiran nyawa.tapi pemerintah apa² membuka pasilitas brkumpul org , takut rugi kah pemasukan rupiah ? 
 #terserah",negatif
"masuk new normal, pandeminya naik!
https://t.co/avxdzcdhgh","masuk normal, pandeminya","masuk normal, pandeminya","masuk , pandeminya",negatif
"berhadiah total rp169 m, pemkab inhil ikuti lomba karya video inovatif new normal https://t.co/nkwr04ynkz","berhadiah total rp169 m, pemkab inhil ikuti lomba karya video inovatif","berhadiah total rp169 m, pemkab inhil ikuti lomba karya video inovatif","berhadiah total rp169 m , pemkab inhil ikuti lomba karya video inovatif",positif
"bagus bagusan dan siapa paling cepat, jadi kesibukan para menteri hari ini untuk menghadapi 'new normal'. everything is abt political interests. but it's okay, we know.","bagus bagusan dan siapa paling cepat, jadi kesibukan para menteri hari ini untuk menghadapi 'new normal'. everything is abt political interests. but it's okay, we know.","bagus bagusan dan siapa paling cepat, jadi kesibukan para menteri hari ini untuk menghadapi 'new normal'. everything is abt political interests. but it's okay, we know.","bagus bagusan cepat , kesibukan menteri menghadapi ' ' . everything is abt political interests . but it ' okay , we know .",netral
kalian lebih milih new normal apa new status?,kalian lebih milih apa status?,kalian lebih memilih apa status?,memilih status ?,netral
kkks siap memulai masa new normal https://t.co/tzmlqfxhg9,kkks siap memulai masa,kkks siap memulai masa,kkks,positif
"pemakaian masker saat new normal, ini efek psikologisnya.
https://t.co/a5q4v06unw https://t.co/gkmsdrg3do","pemakaian masker saat normal, ini efek","pemakaian masker saat normal, ini efek","pemakaian masker , efek",netral
"@candraasmara85 mereka yg selalu teriak tempat ibadah dibuka, diakomodir dalam salah satu point new normal protes juga..ga jelas maunya, kaum labil","mereka yg selalu teriak tempat ibadah dibuka, diakomodir dalam salah satu point protes juga..ga jelas maunya, kaum labil","mereka yang selalu teriak tempat ibadah dibuka, diakomodir dalam salah satu point protes juga..ga jelas maunya, kaum labil","teriak ibadah dibuka , diakomodir salah point protes .. maunya , kaum labil",negatif
"kota surabaya, kabupaten sidoarjo dan kabupaten gresik resmi berlakukan transisi menuju new normal https://t.co/mfkaszci6h","kota surabaya, kabupaten sidoarjo dan kabupaten gresik resmi berlakukan transisi menuju","kota surabaya, kabupaten sidoarjo dan kabupaten gresik resmi berlakukan transisi menuju","kota surabaya , kabupaten sidoarjo kabupaten gresik resmi berlakukan transisi",positif
"new normal, indonesia naik 1000 kasus lebih. apa gak serem kelen rasa?","normal, indonesia naik 1000 kasus lebih. apa gak serem kelen rasa?","normal, indonesia naik 1000 kasus lebih. apa enggak seram kelen rasa?",", indonesia 1000 . seram kelen ?",negatif
"jam 7 pagi aja belum nyampe
hari pertama transisi ke new normal

- orang dijalanan jalan gak pake masker.
- naik motor gak pake masker.
- orang jualan makanan gak pake masker (tambah : bersin2 lagi di depan makanannya yg dia jual)

ha. ha. ha.","jam 7 pagi aja belum nyampe
hari pertama transisi ke normal

- orang dijalanan jalan gak pake masker.
- naik motor gak pake masker.
- orang jualan makanan gak pake masker (tambah : bersin2 lagi di depan makanannya yg dia jual)

ha. ha. ha.","jam 7 pagi saja belum nyampe
hari pertama transisi ke normal

- orang dijalanan jalan enggak pakai masker.
- naik motor enggak pakai masker.
- orang jualan makanan enggak pakai masker (tambah : bersin2 lagi di depan makanannya yang dia jual)

ha. ha. ha.","jam 7 pagi nyampe 
 transisi 

 - orang dijalanan jalan pakai masker . 
 - motor pakai masker . 
 - orang jualan makanan pakai masker ( : bersin2 makanannya jual ) 

 ha . ha . ha .",negatif
"om swastyastu,

webinar 7

""peran keluarga dalam. pendidikan anak di masa new normal life""

om santih, santih santih om 🙏😇

#stahdharmanusantarajakarta
#dosenstahdharmanusantarajakarta
#hindu
#dharmadana
#phdi https://t.co/pyr73vieh2","om swastyastu,

webinar 7

""peran keluarga dalam. pendidikan anak di masa life""

om santih, santih santih om 🙏😇

#stahdharmanusantarajakarta
#dosenstahdharmanusantarajakarta
#hindu
#dharmadana
#phdi","om swastyastu,

webinar 7

""peran keluarga dalam. pendidikan anak di masa life""

om santih, santih santih om 🙏😇

#stahdharmanusantarajakarta
#dosenstahdharmanusantarajakarta
#hindu
#dharmadana
#phdi","om swastyastu , 

 webinar 7 

 "" peran keluarga . pendidikan anak life "" 

 om santih , santih santih om 🙏 😇 

 #stahdharmanusantarajakarta 
 #dosenstahdharmanusantarajakarta 
 #hindu 
 #dharmadana 
 #phdi",netral
@najwashihab @matanajwa punten mbak najwa perubahan kebijakan yanh ada itu berdasarkan apa yaa. maksutnya saya kebijakan berubah dari lockdown tidak jadi psbb sudah sk new normal eee gimana kalau seumpama di fokuskan pada satu kebijakan dan dilakukan arahan2 untuk mewujudkannyaa bukan dengan penggantian,punten mbak najwa perubahan kebijakan yanh ada itu berdasarkan apa yaa. maksutnya saya kebijakan berubah dari lockdown tidak jadi psbb sudah sk eee gimana kalau seumpama di fokuskan pada satu kebijakan dan dilakukan arahan2 untuk mewujudkannyaa bukan dengan penggantian,punten mbak najwa perubahan kebijakan yanh ada itu berdasarkan apa yaa. maksutnya saya kebijakan berubah dari lockdown tidak jadi psbb sudah suka eee bagaimana kalau seumpama di fokuskan pada satu kebijakan dan dilakukan arahan2 untuk mewujudkannyaa bukan dengan penggantian,punten mbak najwa perubahan kebijakan yanh berdasarkan yaa . maksutnya kebijakan berubah lockdown psbb suka eee seumpama fokuskan kebijakan arahan2 mewujudkannyaa penggantian,netral
udah mulai new normal? sebelumnya pada gila?,udah mulai normal? sebelumnya pada gila?,sudah mulai normal? sebelumnya pada gila?,? gila ?,netral
"narasi 'new normal' tanpa adanya pendekatan ilmiah dan pengedukasian yg baik, hanya akan diartikan sebagai ""okeh, kita udah boleh nongkrong lagi di mall, kuy!""","narasi 'new normal' tanpa adanya pendekatan ilmiah dan pengedukasian yg baik, hanya akan diartikan sebagai ""okeh, kita udah boleh nongkrong lagi di mall, kuy!""","narasi 'new normal' tanpa adanya pendekatan ilmiah dan pengedukasian yang baik, hanya akan diartikan sebagai ""okeh, kita sudah boleh nongkrong lagi di mall, kuy!""","narasi ' ' pendekatan ilmiah pengedukasian , diartikan "" okeh , nongkrong mall , ! """,negatif
"harga travel reguler
(harga new normal)
.
✓travel malang - ngawi⁣⁣
- (harga rp 250k / orang)⁣⁣
✓travel malang - solo⁣⁣
- (harga rp 270k / orang)⁣⁣
✓travel malang - jogja⁣⁣
- (harga rp 290k / orang)⁣⁣
✓travel malang -… https://t.co/ayfx6sbwsa","harga travel reguler
(harga normal)
.
✓travel malang - ngawi⁣⁣
- (harga rp 250k / orang)⁣⁣
✓travel malang - solo⁣⁣
- (harga rp 270k / orang)⁣⁣
✓travel malang - jogja⁣⁣
- (harga rp 290k / orang)⁣⁣
✓travel malang -…","harga travel reguler
(harga normal)
.
✓travel malang - ngawi⁣⁣
- (harga rp 250k / orang)⁣⁣
✓travel malang - solo⁣⁣
- (harga rp 270k / orang)⁣⁣
✓travel malang - jogja⁣⁣
- (harga rp 290k / orang)⁣⁣
✓travel malang -…","harga travel reguler 
 ( harga ) 
 . 
 ✓ travel malang - ngawi⁣⁣ 
 - ( harga rp 250k / orang)⁣⁣ 
 ✓ travel malang - solo⁣⁣ 
 - ( harga rp 270k / orang)⁣⁣ 
 ✓ travel malang - jogja⁣⁣ 
 - ( harga rp 290k / orang)⁣⁣ 
 ✓ travel malang - …",netral
"danramil 23/ceper hadiri rakor penentuan desa siaga antisipasi covid-19  

klaten | batituud pelda ngadisa mewakili danramil 23/ceper menghadiri rapat koordinasi penentuan desa siaga atau desa new normal di aula… https://t.co/fn7hfwnadw",danramil 23/ceper hadiri rakor penentuan desa siaga antisipasi covid-19 klaten | batituud pelda ngadisa mewakili danramil 23/ceper menghadiri rapat koordinasi penentuan desa siaga atau desa di aula…,danramil 23/ceper hadiri rakor penentuan desa siaga antisipasi covid-19 klaten | batituud pelda ngadisa mewakili danramil 23/ceper menghadiri rapat koordinasi penentuan desa siaga atau desa di aula…,danramil 23 / ceper hadiri rakor penentuan desa siaga antisipasi covid - 19 klaten | batituud pelda ngadisa mewakili danramil 23 / ceper menghadiri rapat koordinasi penentuan desa siaga desa aula …,netral
